65,1249.6420719891
65.5,1249.6420719891
66,1249.6420719891
66.5,1249.6420719891
67,1249.6420719891
67.5,1249.6420719891
68,1249.6420719891
68.5,1249.6420719891
69,1249.6420719891
69.5,1249.6420719891
70,1249.6420719891
70.5,1249.6420719891
71,1249.6420719891
71.5,1249.6420719891
72,1249.6420719891
72.5,1249.6420719891
73,1249.6420719891
73.5,1249.6420719891
74,1249.6420719891
74.5,1249.6420719891
75,1249.6420719891
75.5,1249.6420719891
76,1249.6420719891
76.5,1249.6420719891
77,1249.5854713706
77.5,1249.887967325
78,1250.2059308442
78.5,1250.5581228061
79,1250.987769228
79.5,1251.3196089543
80,1251.6043696962
80.5,1251.936257878
81,1252.157473398
81.5,1252.3706973042
82,1252.545712596
82.5,1252.709975079
83,1252.8389187793
83.5,1252.9231222177
84,1253.007325656
84.5,1253.0915290944
85,1253.1694464692
85.5,1253.2277149777
86,1253.2801920715
86.5,1253.3481224715
87,1253.4090899841
87.5,1253.4686905937
88,1253.5282912034
88.5,1253.5878918131
89,1253.6619135362
89.5,1253.7462320971
90,1253.8249937366
90.5,1253.930921087
91,1253.9950444168
91.5,1254.0591677466
92,1254.1232910763
92.5,1254.1874144061
93,1254.2582438849
93.5,1254.3184599325
94,1254.3771550263
94.5,1254.4373297103
95,1254.5160097696
95.5,1254.594689829
96,1254.6733698884
96.5,1254.7427812315
97,1254.8026425928
97.5,1254.8757871339
98,1254.948931675
98.5,1255.0168877028
99,1255.082817856
99.5,1255.1487480093
100,1255.2146781625
100.5,1255.2806083157
101,1255.3456008114
101.5,1255.3980779052
102,1255.4525727618
102.5,1255.5175104985
103,1255.5576951891
103.5,1255.5978798796
104,1255.7754056957
104.5,1255.85080837
105,1256.0147121578
105.5,1256.1929466314
106,1256.398496992
106.5,1256.6063557329
107,1256.7276638177
107.5,1256.8143921465
108,1256.8975627302
108.5,1256.9536326026
109,1257.0142028925
109.5,1257.0644190797
110,1257.1148150435
110.5,1257.1754182447
111,1257.2216339498
111.5,1257.2478887804
112,1257.3178666833
112.5,1257.3956072371
113,1257.4581995529
113.5,1257.5084157401
114,1257.5633740223
114.5,1257.6194149052
115,1257.6707339071
115.5,1257.5484390948
116,1257.45417842
116.5,1257.3642560735
117,1257.2829843163
117.5,1257.2000227083
118,1257.0942006458
118.5,1256.9630558009
119,1256.8572337383
119.5,1256.7815899825
120,1256.6645285659
120.5,1256.5894235238
121,1256.4876709353
121.5,1256.3972570651
122,1256.2821905287
122.5,1256.1980594841
123,1256.08802919
123.5,1255.9874256107
124,1255.8958627313
124.5,1255.8207576893
125,1255.7317941226
125.5,1255.6353681129
126,1255.5422911562
126.5,1255.436424772
127,1255.36131973
127.5,1255.2861508781
128,1255.1725926771
128.5,1255.0940482293
129,1255.0189431873
129.5,1254.9438381453
130,1254.8267767287
130.5,1254.7389713458
131,1254.6346102701
131.5,1254.559505228
132,1254.484400186
132.5,1254.4058880226
133,1254.3052106827
133.5,1254.1981890221
134,1254.1077006769
134.5,1254.0516109334
135,1253.9918135593
135.5,1253.9167085173
136,1253.8416034753
136.5,1253.7664984332
137,1253.6761190038
137.5,1253.5839937111
138,1253.4992269326
138.5,1253.4241218906
139,1253.3490168486
139.5,1253.2739118066
140,1253.1988067645
140.5,1253.1237017225
141,1253.0736664193
141.5,1253.0154480131
142,1252.9403429711
142.5,1252.8652379291
143,1252.8102756073
143.5,1252.7698655402
144,1252.7238355523
144.5,1252.6375328023
145,1252.5316690936
145.5,1252.4680214287
146,1252.4234153842
146.5,1252.3483103422
147,1252.2732053001
147.5,1252.2264780058
148,1252.1629539678
148.5,1252.0898465487
149,1252.0294456072
149.5,1251.9902429322
150,1251.9655376617
150.5,1251.9118669604
151,1251.8401904624
151.5,1251.7953006849
152,1251.7551735898
152.5,1251.6939508851
153,1251.6092856655
153.5,1251.5394085518
154,1251.5021953088
154.5,1251.4686083249
155,1251.4574568918
155.5,1251.4142975512
156,1251.3711382105
156.5,1251.3279788699
157,1251.2848195292
157.5,1251.2417918401
158,1251.2119724069
